tag,name,description
cs.AI,Artificial Intelligence,"Artificial Intelligence (AI) refers to the development of computer systems that can perform tasks that typically require human intelligence. In particular, this includes Expert Systems, Theorem Proving, Knowledge Representation, Planning, and Uncertainty in AI."
cs.AR,Hardware Architecture,"Hardware architecture in computer science refers to the design and organization of a computer system's physical components and their interconnections. In particular, this includes systems organization and hardware architecture."
cs.CC,Computational Complexity,"Computational complexity in computer science refers to the study of how the resource requirements (such as time and space) of an algorithm or a problem scale with the input size. In particular, this includes models of computation, complexity classes, structural complexity, complexity tradeoffs, upper and lower bounds."
cs.CE,"Computational Engineering, Finance, and Science","In particular, computational engineering, finance, and science includes applications of computer science to the mathematical modeling of complex systems in the fields of science, engineering, and finance."
cs.CG,Computational Geometry,"Computational geometry in computer science focuses on the study and development of algorithms and methods for solving geometric problems using computational techniques. It encompasses a wide range of topics related to the efficient representation, manipulation, and analysis of geometric objects such as points, lines, polygons, and surfaces."
cs.CL,Computation and Language,Computation and language focuses on natural language processing.
cs.CR,Cryptography and Security,"Cryptography and security in computer science focuses on cryptography and information security in computer science. In particular, this includes all areas of cryptography and security including authentication, public key cryptosytems, proof-carrying code, etc."
cs.CV,Computer Vision and Pattern Recognition,"Computer vision and pattern recognition focuses on the development and application of algorithms and techniques for analyzing and interpreting visual data. In particular, this includes image processing, computer vision, pattern recognition, and scene understanding."
cs.CY,Computers and Society,"Computers and society focuses on the reciprocal relationship between computing technology and societal issues. In particular, this includes impact of computers on society, computer ethics, information technology and public policy, legal aspects of computing, computers and education."
cs.DB,Databases,"Databases in computer science focuses on the study, design, development, implementation, management, and applications of database systems. In particular, this includes database management, datamining, and data processing."
cs.DC,"Distributed, Parallel, and Cluster Computing","Distributed, parallel, and cluster computing in computer science focuses on the design, analysis, and implementation of systems that involve multiple computer nodes working together to solve a computational problem. In particular, this includes fault-tolerance, distributed algorithms, stabilility, parallel computation, and cluster computing."
cs.DL,Digital Libraries,"Digital libraries in computer science focuses on the collection, management, preservation, and dissemination of digital information. In particular, this includes all aspects of the digital library design and document and text creation. In particular, this includes combinatorics, graph theory, and applications of probability."
cs.DM,Discrete Mathematics,Discrete mathematics in computer science focuses on the study of mathematical structures that are fundamentally discrete rather than continuous. 
cs.DS,Data Structures and Algorithms,"Data structures and algorithms in computer science focuses on the design, analysis, and implementation of data structures and algorithms."
cs.ET,Emerging Technologies,"Emerging technologies in computer science focuses on new and innovative technologies that are at the forefront of computer science. In particular, this includes approaches to information processing (computing, communication, sensing) and bio-chemical analysis based on alternatives to silicon CMOS-based technologies, such as nanoscale electronic, photonic, spin-based, superconducting, mechanical, bio-chemical and quantum technologies (this list is not exclusive). Topics of interest include (1) building blocks for emerging technologies, their scalability and adoption in larger systems, including integration with traditional technologies, (2) modeling, design and optimization of novel devices and systems, (3) models of computation, algorithm design and programming for emerging technologies."
cs.FL,Formal Languages and Automata Theory,"Formal languages and automata theory in computer science focuses on automata theory, formal language theory, grammars, and combinatorics on words."
cs.GL,General Literature,"General literature in computer science focuses on introductory material, survey material, predictions of future trends, biographies, and miscellaneous computer-science related material."
cs.GR,Graphics,Graphics in computer science focuses on all aspects of computer graphics.
cs.GT,Computer Science and Game Theory,"Computer science and game theory focuses on all theoretical and applied aspects at the intersection of computer science and game theory, including work in mechanism design, learning in games (which may overlap with Learning), foundations of agent modeling in games (which may overlap with Multiagent systems), coordination, specification and formal methods for non-cooperative computational environments. The area also deals with applications of game theory to areas such as electronic commerce."
cs.HC,Human-Computer Interaction,"Human-computer interaction focuses on the design, implementation, and evaluation of interactive computing systems for human use and the study of major phenomena surrounding them. In particular, this includes human factors, user interfaces, and collaborative computing."
cs.IR,Information Retrieval,"Information retrieval in computer science focuses on processes and technologies involved in the collection, processing, indexing, searching, retrieving, and organizing of information. In particular, this includes indexing, dictionaries, retrieval, content and analysis."
cs.IT,Information Theory,Information theory focuses on theoretical and experimental aspects of information theory and coding.
cs.LG,Machine Learning,"Machine learning focuses on the development and study of algorithms and statistical models that enable computers to perform tasks without explicit instructions, relying on patterns and inference instead. In particular, this includes all aspects of machine learning research (supervised, unsupervised, reinforcement learning, bandit problems, and so on) including also robustness, explanation, fairness, and methodology."
cs.LO,Logic in Computer Science,"Logic in computer science focuses on all aspects of logic in computer science, including finite model theory, logics of programs, modal logic, and program verification."
cs.MA,Multiagent Systems,"Multiagent systems in computer science focuses on systems composed of multiple autonomous agents that interact with each other. In particular, this includes multiagent systems, distributed artificial intelligence, intelligent agents, coordinated interactions. and practical applications."
cs.MM,Multimedia,"Multimedia in computer science focuses on processing, analysis, retrieval, and understanding of multimedia data, which includes images, video, audio, and other forms of media content."
cs.MS,Mathematical Software,"Mathematical software in computer science focuses on the development, maintenance, and application of software designed to solve mathematical problems."
cs.NA,Numerical Analysis,"Numerical analysis focuses on numerical algorithms for problems in analysis and algebra, and scientific computation."
cs.NE,Neural and Evolutionary Computing,"Neural and evolutionary computing in computer science focuses on the development, analysis, and application of computational systems inspired by natural processes. In particular, this includes neural networks, connectionism, genetic algorithms, artificial life, and adaptive behavior."
cs.NI,Networking and Internet Architecture,"Networking and internet architecture in computer science focuses on the design, analysis, and implementation of network architectures and protocols. In particular, this includes all aspects of computer communication networks, including network architecture and design, network protocols, and internetwork standards (like TCP/IP). Also includes topics, such as web caching, that are directly relevant to internet architecture and performance."
cs.OH,Other Computer Science,Other computer science focuses on diverse and interdisciplinary topics within computer science that fall outside the scope of more specific categories.
cs.OS,Operating Systems,"Operating systems in computer science focuses on the design, implementation, analysis, and evaluation of operating systems. This includes topics such as process management, memory management, file systems, I/O and device management, security and protection mechanisms, system architecture for operating systems, virtualization, distributed systems, real-time systems, and the interaction between hardware and software at the system level."
cs.PF,Performance,"Performance in computer science focuses on performance aspects of computing systems. In particular, this includes performance measurement and evaluation, queueing, and simulation."
cs.PL,Programming Languages,"Programming languages in computer science focuses on programming language semantics, language features, programming approaches (such as object-oriented programming, functional programming, logic programming). It also includes material on compilers oriented towards programming languages."
cs.RO,Robotics,"Robotics in computer science focuses on the design, construction, operation, and application of robots. This category encompasses a wide range of topics within robotics, including but not limited to robot kinematics, dynamics, control, perception, machine learning for robotics, human-robot interaction, autonomous systems, robotic systems engineering, and the integration of robots into various environments and applications."
cs.SC,Symbolic Computation,"Symbolic computation in computer science focuses on the manipulation, analysis, and computation of symbolic and algebraic information. It includes subfields such as computer algebra systems, symbolic computation, and algorithms for manipulating algebraic expressions, equations, and other mathematical objects. The focus is on the development and application of computational methods and software tools for solving mathematical problems symbolically, as opposed to numerically."
cs.SD,Sound,"Sound in computer science focuses on the processing, analysis, synthesis, and retrieval of sound signals by computational means. In particular, this includes all aspects of computing with sound, and sound as an information channel. Includes models of sound, analysis and synthesis, audio user interfaces, sonification of data, computer music, and sound signal processing."
cs.SE,Software Engineering,"Software engineering in computer science focuses on the design, development, maintenance, testing, and evaluation of software systems. In particular, this includes design tools, software metrics, testing and debugging, programming environments, etc."
cs.SI,Social and Information Networks,"Social and information networks focuses on the study of social networks and information networks within the field of computer science. In particular, this includes the design, analysis, and modeling of social and information networks, including their applications for on-line information access, communication, and interaction, and their roles as datasets in the exploration of questions in these and other domains, including connections to the social and biological sciences."
cs.SY,Systems and Control,"Systems and control focuses on the mathematical theory, analysis, design, and practical implementations of systems and control. In particular, this includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization. Specific areas of research include nonlinear, distributed, adaptive, stochastic and robust control in addition to hybrid and discrete event systems. Application areas include automotive and aerospace control systems, network control, biological systems, multiagent and cooperative control, robotics, reinforcement learning, sensor networks, control of cyber-physical and energy-related systems, and control of computing systems."
econ.EM,Econometrics,"Econometrics focuses on using statistical methods to economic data to give empirical content to economic relationships. It involves the use of mathematical models to test hypotheses and forecast future trends in economic activity. In particular, this includes Econometric Theory, Micro-Econometrics, Macro-Econometrics, Empirical Content of Economic Relations discovered via New Methods, and Methodological Aspects of the Application of Statistical Inference to Economic Data."
econ.GN,General Economics,"General economics focuses on general methodological, applied, and empirical contributions to economics, including micro and macro economics, international economics, theory of the firm, labor economics, and other economic topics outside finance."
econ.TH,Theoretical Economics,"Theoretical economics focuses on the theoretical aspects of economics. In particular, this includes theoretical contributions to Contract Theory, Decision Theory, Game Theory, General Equilibrium, Growth, Learning and Evolution, Macroeconomics, Market and Mechanism Design, and Social Choice."
